    PID TTY      STAT   TIME COMMAND
      2 ?        S      0:00 [kthreadd]
  14616 ?        I      0:00  \_ [kworker/u32:26-btrfs-endio]
  14617 ?        I      0:00  \_ [kworker/u32:27-events_unbound]
  14618 ?        I      0:00  \_ [kworker/u32:28-events_unbound]
  14619 ?        I      0:00  \_ [kworker/u32:29-events_unbound]
  14620 ?        I      0:00  \_ [kworker/u32:30-events_unbound]
  14621 ?        I      0:00  \_ [kworker/u32:31-events_unbound]
  14622 ?        I      0:00  \_ [kworker/u32:32-events_unbound]
  14623 ?        I      0:00  \_ [kworker/u32:33-btrfs-endio]
  14624 ?        I      0:00  \_ [kworker/u32:34-nvme-wq]
  14625 ?        I      0:00  \_ [kworker/u32:35-events_unbound]
  14626 ?        I      0:00  \_ [kworker/u32:36-btrfs-endio]
  14627 ?        I      0:00  \_ [kworker/u32:37-events_unbound]
  14628 ?        I      0:00  \_ [kworker/u32:38-events_power_efficient]
  14629 ?        I      0:00  \_ [kworker/u32:39-btrfs-endio]
  14630 ?        I      0:00  \_ [kworker/u32:40-btrfs-endio]
  14631 ?        I      0:00  \_ [kworker/u32:41-events_unbound]
  14632 ?        I      0:00  \_ [kworker/u32:42-btrfs-endio]
  14633 ?        I      0:00  \_ [kworker/u32:43-events_unbound]
  14634 ?        I      0:00  \_ [kworker/u32:44-events_unbound]
  14635 ?        I      0:00  \_ [kworker/u32:45]
  14636 ?        I      0:00  \_ [kworker/u32:46]
  14637 ?        S      0:00  \_ [irq/68-mmc0]
  14638 ?        I<     0:00  \_ [kworker/u33:2-rtw_tx_wq]
  14687 ?        I      0:00  \_ [kworker/4:1-events]
  14699 ?        I      0:00  \_ [kworker/0:0-events]
  14732 ?        S      0:00  \_ [kvm-nx-lpage-re]
  14741 ?        S      0:00  \_ [kvm-pit/14727]
  14990 ?        I      0:00  \_ [kworker/2:2-events]
      1 ?        Ss     0:04 /usr/lib/systemd/systemd splash --switched-root --system --deserialize 30
    711 ?        Ss     0:03 /usr/lib/systemd/systemd-journald
    724 ?        Ss     0:00 /usr/lib/systemd/systemd-udevd
    852 ?        Ss     0:01 /usr/lib/systemd/systemd-resolved
    856 ?        Ssl    0:00 /usr/lib/systemd/systemd-timesyncd
    874 ?        Ss     0:00 /usr/lib/bluetooth/bluetoothd
    875 ?        Ss     0:08 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
